ORDER	LATENCY	ABS	TYPE
1	15093	15093	local
2	103475	118568	global
3	2188	120756	local
4	28665	149421	global
5	115393	264814	global
6	2353	267167	local
7	2704	269871	local
8	2223	272094	local
9	2371	274465	local
10	2634	277099	local
11	1750	278849	local
12	2404	281253	local
13	1808	283061	local
14	3381	286442	local
15	6672	293114	local
16	1970	295084	local
17	2337	297421	local
18	2030	299451	local
19	13091	312542	local
20	2190	314732	local
21	11053	325785	local
22	1837	327622	local
23	1547	329169	local
24	1331	330500	local
25	1590	332090	local
26	1244	333334	local
27	2372	335706	local
28	1768	337474	local
29	6236	343710	global
30	2225	345935	local
31	3027	348962	local
32	1775	350737	local
33	2200	352937	local
34	1637	354574	local
35	1545	356119	local
36	1491	357610	local
37	1236	358846	local
38	23165	382011	global
39	1272	383283	local
40	1718	385001	local
41	2909	387910	local
42	2048	389958	local
43	2087	392045	local
44	1525	393570	local
45	1668	395238	local
46	1744	396982	local
47	46276	443258	global
48	1990	445248	local
49	23448	468696	local
50	29219	497915	global
51	2019	499934	local
52	1930	501864	local
53	1408	503272	local
54	1462	504734	local
55	1312	506046	local
56	1238	507284	local
57	2165	509449	local
58	1946	511395	local
59	39486	550881	global
60	13580	564461	global
61	2641	567102	local
62	2813	569915	local
63	2288	572203	local
64	2192	574395	local
65	1923	576318	local
66	1844	578162	local
67	5890	584052	local
68	12162	596214	local
69	2017	598231	local
70	1904	600135	local
71	2036	602171	local
72	57738	659909	global
73	2174	662083	local
74	1607	663690	local
75	2729	666419	local
76	1918	668337	local
77	1608	669945	local
78	1426	671371	local
79	1470	672841	local
80	1343	674184	local
81	1837	676021	local
82	1646	677667	local
83	1443	679110	local
84	1310	680420	local
85	1609	682029	local
86	1686	683715	local
87	1617	685332	local
88	1236	686568	local
89	1358	687926	local
90	1299	689225	local
91	1239	690464	local
92	1120	691584	local
93	1241	692825	local
94	991	693816	local
95	999	694815	local
96	944	695759	local
97	894	696653	local
98	855	697508	local
99	26092	723600	global
100	1915	725515	local
101	1931	727446	local
102	1781	729227	local
103	26950	756177	global
104	14829	771006	global
105	2174	773180	local
106	163981	937161	global
107	6899	944060	local
108	2160	946220	local
109	3003	949223	global
110	1669	950892	local
111	1331	952223	local
112	3144	955367	global
113	5353	960720	global
114	1378	962098	local
115	1327	963425	local
116	1165	964590	local
117	1458	966048	local
118	1502	967550	local
119	1312	968862	local
120	1907	970769	local
121	1847	972616	local
122	31861	1004477	global


--------------
Stats:
	Total: 122
	Mean: 6833.051020408163
	StdDev: 18717.396242821065
	Max: 23165
	Percentile (25, 50, 75, 95, 99): (1608, 1930, 2372, 13091, 23165)
--------------

