ORDER	LATENCY	ABS	TYPE
1	2190	2190	local
2	1502	3692	local
3	1867	5559	local
4	3349	8908	local
5	2264	11172	local
6	5725	16897	local
7	4444	21341	local
8	4575	25916	local
9	110812	136728	global
10	6113	142841	local
11	2089	144930	local
12	9955	154885	local
13	2601	157486	local
14	4735	162221	local
15	56871	219092	local
16	6027	225119	local
17	2451	227570	local
18	2075	229645	local
19	2023	231668	local
20	3577	235245	local
21	3265	238510	local
22	3689	242199	local
23	2007	244206	local
24	6383	250589	local
25	3281	253870	local
26	3808	257678	local
27	1455	259133	local
28	1665	260798	local
29	35789	296587	global
30	7681	304268	local
31	8016	312284	local
32	2811	315095	local
33	1996	317091	local
34	1696	318787	local
35	2149	320936	local
36	1895	322831	local
37	2018	324849	local
38	2124	326973	local
39	1546	328519	local
40	31280	359799	global
41	2437	362236	local
42	7457	369693	local
43	13455	383148	local
44	2277	385425	local
45	2356	387781	local
46	7544	395325	local
47	1945	397270	local
48	2822	400092	local
49	4436	404528	local
50	1762	406290	local
51	3333	409623	local
52	1967	411590	local
53	6806	418396	global
54	1788	420184	local
55	1988	422172	local
56	1918	424090	local
57	1804	425894	local
58	1564	427458	local
59	1445	428903	local
60	1256	430159	local
61	2220	432379	local
62	1139	433518	local
63	908	434426	local
64	1005	435431	local
65	1041	436472	local
66	1377	437849	local
67	2299	440148	local
68	1899	442047	local
69	5425	447472	local
70	2024	449496	local
71	2771	452267	local
72	1755	454022	local
73	2020	456042	local
74	4135	460177	local
75	9781	469958	local
76	5417	475375	local
77	3508	478883	local
78	4500	483383	local
79	2232	485615	local
80	34983	520598	global
81	1961	522559	local
82	1835	524394	local
83	2392	526786	local
84	4990	531776	local
85	1889	533665	local
86	2294	535959	local
87	2423	538382	local
88	1900	540282	local
89	1763	542045	local
90	1612	543657	local
91	1675	545332	local
92	1793	547125	local
93	2014	549139	local
94	1707	550846	local
95	1296	552142	local
96	1561	553703	local
97	4186	557889	global
98	1071	558960	local
99	30188	589148	global
100	1912	591060	local
101	1522	592582	local
102	2523	595105	local
103	2173	597278	local
104	2247	599525	local
105	2050	601575	local
106	1974	603549	local
107	1465	605014	local
108	1924	606938	local
109	4322	611260	local
110	2512	613772	local
111	2340	616112	local
112	1591	617703	local
113	7219	624922	local
114	2856	627778	local
115	1950	629728	local
116	1809	631537	local
117	1829	633366	local
118	3344	636710	local
119	1888	638598	local
120	1400	639998	local
121	1557	641555	local
122	2252	643807	local
123	1462	645269	local
124	66297	711566	global
125	1356	712922	local
126	1396	714318	local
127	1496	715814	local
128	1419	717233	local
129	2428	719661	global
130	20543	740204	global
131	1525	741729	local
132	1712	743441	local
133	2710	746151	local
134	2343	748494	local
135	1344	749838	local
136	1154	750992	local
137	2347	753339	local
138	1650	754989	local
139	1881	756870	local
140	1651	758521	local
141	1978	760499	local
142	1110	761609	local
143	7430	769039	local
144	1777	770816	local
145	1343	772159	local
146	2022	774181	local
147	1564	775745	local
148	2398	778143	local
149	8378	786521	global
150	1320	787841	local
151	1090	788931	local
152	1074	790005	local
153	1262	791267	local
154	1333	792600	local
155	1746	794346	local
156	3714	798060	local
157	1827	799887	local
158	1452	801339	local
159	11936	813275	global
160	1175	814450	local
161	1624	816074	local
162	1573	817647	local
163	1394	819041	local
164	1089	820130	local
165	1366	821496	local
166	1273	822769	local
167	1765	824534	local
168	1263	825797	local
169	2087	827884	local
170	4087	831971	local
171	1981	833952	local
172	2378	836330	local
173	2084	838414	local
174	1635	840049	local
175	1390	841439	local
176	1444	842883	local
177	1430	844313	local
178	3679	847992	local
179	2017	850009	local
180	1337	851346	local
181	1255	852601	local
182	1255	853856	local
183	1585	855441	local
184	1821	857262	local
185	5589	862851	global
186	1446	864297	local
187	4249	868546	local
188	1633	870179	local
189	1451	871630	local
190	1495	873125	local
191	1500	874625	local
192	1263	875888	local
193	1220	877108	local
194	6681	883789	global
195	1578	885367	local
196	1568	886935	local
197	1685	888620	local
198	1517	890137	local
199	1344	891481	local
200	1153	892634	local
201	1848	894482	local
202	2323	896805	local
203	1843	898648	local
204	1639	900287	local
205	1400	901687	local
206	1202	902889	local
207	1515	904404	local
208	1360	905764	local
209	1385	907149	local
210	1249	908398	local
211	67560	975958	global
212	1473	977431	local
213	1528	978959	local
214	1417	980376	local
215	2211	982587	local
216	1073	983660	local
217	1064	984724	local
218	1034	985758	local
219	944	986702	local
220	6201	992903	global
221	2419	995322	local
222	1396	996718	local
223	1386	998104	local
224	1608	999712	local
225	1289	1001001	local


--------------
Stats:
	Total: 225
	Mean: 3626.790055248619
	StdDev: 6909.859261318852
	Max: 6383
	Percentile (25, 50, 75, 95, 99): (1546, 1900, 2392, 4990, 6201)
--------------

